Actual,Predicted
171491.93120731844,148986.2061299384
178719.39784744816,144504.90955102976
151256.0583048711,151641.65318926508
142263.59698513278,167420.95392970898
159512.10400727374,141895.8777529811
212666.41962857405,187479.81304084655
167544.7300569421,132588.37127486028
191220.36999368345,128639.64464636095
121679.1426122356,170913.35076532047
118462.337956961,138432.82480346938
152113.36158293588,125450.1062847907
148527.45747598127,130954.79187908686
120388.7077336608,135825.11319995104
183390.15196032604,173057.1867194616
85362.94847703465,163796.9158367163
139375.31380165071,162499.03334583456
162007.01753318874,141596.59564545035
155825.70869318873,135197.06155055197
188270.61202850463,214568.83409282414
104253.25351436304,141851.93310286605
189956.0676195028,149625.15999508745
123818.13803527092,135897.2296898669
64109.22540915072,146820.24934744852
132896.8729188008,145730.284932591
86134.10050279922,129276.83262444616
207610.93180760733,138243.52401136718
215778.8559309209,171234.5000370232
